id|serviceArea|serviceAreaDisplayName|urls/0|urls/1|ips/0|ips/1|ips/2|ips/3|ips/4|ips/5|ips/6|ips/7|ips/8|ips/9|ips/10|ips/11|ips/12|ips/13|ips/14|ips/15|ips/16|ips/17|ips/18|ips/19|ips/20|ips/21|ips/22|ips/23|ips/24|ips/25|ips/26|ips/27|tcpPorts|expressRoute|category|required|urls/2|notes|udpPorts|urls/3|urls/4|ips/28|ips/29|ips/30|ips/31|ips/32|ips/33|ips/34|ips/35|ips/36|ips/37|urls/5|urls/6|urls/7|urls/8|urls/9|urls/10|urls/11|urls/12|urls/13|urls/14|urls/15|urls/16|urls/17|urls/18|urls/19|urls/20|urls/21|urls/22|urls/23|urls/24|urls/25
118|Common|Microsoft 365 Common and Office Online|*.assets-yammer.com||||||||||||||||||||||||||||||443|false|Default|false||Yammer CDN||||||||||||||||||||||||||||||||||
121|Common|Microsoft 365 Common and Office Online|www.outlook.com||||||||||||||||||||||||||||||80,443|false|Default|false||Planner: auxiliary URLs||||||||||||||||||||||||||||||||||
122|Common|Microsoft 365 Common and Office Online|eus-www.sway-cdn.com|eus-www.sway-extensions.com|||||||||||||||||||||||||||||443|false|Default|false|wus-www.sway-cdn.com|Sway CDNs||wus-www.sway-extensions.com||||||||||||||||||||||||||||||||
124|Common|Microsoft 365 Common and Office Online|sway.com|www.sway.com|||||||||||||||||||||||||||||443|false|Default|false||Sway||||||||||||||||||||||||||||||||||
125|Common|Microsoft 365 Common and Office Online|*.entrust.net|*.geotrust.com|||||||||||||||||||||||||||||80,443|false|Default|true|*.omniroot.com|||*.public-trust.com|*.symcb.com|||||||||||*.symcd.com|*.verisign.com|*.verisign.net|apps.identrust.com|cacerts.digicert.com|cert.int-x3.letsencrypt.org|crl.globalsign.com|crl.globalsign.net|crl.identrust.com|crl3.digicert.com|crl4.digicert.com|isrg.trustid.ocsp.identrust.com|mscrl.microsoft.com|ocsp.digicert.com|ocsp.globalsign.com|ocsp.msocsp.com|ocsp2.globalsign.com|ocspx.digicert.com|secure.globalsign.com|www.digicert.com|www.microsoft.com
126|Common|Microsoft 365 Common and Office Online|officespeech.platform.bing.com||||||||||||||||||||||||||||||443|false|Default|false||Connection to the speech service is required for Office Dictation features. If connectivity is not allowed, Dictation will be disabled.||||||||||||||||||||||||||||||||||
127|Skype|Skype for Business Online and Microsoft Teams|*.skype.com||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
128|Common|Microsoft 365 Common and Office Online|*.config.office.net|*.manage.microsoft.com|||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
147|Common|Microsoft 365 Common and Office Online|*.office.com||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
148|Common|Microsoft 365 Common and Office Online|cdnprod.myanalytics.microsoft.com|myanalytics.microsoft.com|||||||||||||||||||||||||||||80,443|false|Default|true|myanalytics-gcc.microsoft.com|||||||||||||||||||||||||||||||||||
149|Common|Microsoft 365 Common and Office Online|workplaceanalytics.cdn.office.net||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
152|Common|Microsoft 365 Common and Office Online|*.microsoftusercontent.com||||||||||||||||||||||||||||||443|false|Default|false||These endpoints enables the Office Scripts functionality in Office clients available through the Automate tab.  This feature can also be disabled through the Office 365 Admin portal.||||||||||||||||||||||||||||||||||
153|Common|Microsoft 365 Common and Office Online|*.azure-apim.net|*.flow.microsoft.com|||||||||||||||||||||||||||||443|false|Default|true|*.powerapps.com|||||||||||||||||||||||||||||||||||
154|Exchange|Exchange Online|autodiscover.*.onmicrosoft.com||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
156|Common|Microsoft 365 Common and Office Online|*.activity.windows.com|activity.windows.com|||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
157|Common|Microsoft 365 Common and Office Online|ocsp.int-x3.letsencrypt.org||||||||||||||||||||||||||||||80|false|Default|true||||||||||||||||||||||||||||||||||||
158|Common|Microsoft 365 Common and Office Online|*.cortana.ai||||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
159|Common|Microsoft 365 Common and Office Online|admin.microsoft.com||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
160|Common|Microsoft 365 Common and Office Online|cdn.odc.officeapps.live.com|cdn.uci.officeapps.live.com|||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
